asset_id,type,category,set_query,match_kind,match_value,display_name
sv8pt5-47,single,pokemon,Prismatic Evolutions,number,47/131,Eevee (Prismatic)
sv2-269,single,pokemon,Paldea Evolved,number,269/193,Iono SIR
sv2-254,single,pokemon,Paldea Evolved,number,254/193,Iono Ultra Rare
sv2-185,single,pokemon,Paldea Evolved,number,185/193,Iono
swsh8-271,single,pokemon,Fusion Strike,number,271/264,Gengar VMAX Alt Art
swsh9-154,single,pokemon,Brilliant Stars,number,154/172,Charizard V Alt Art
swsh11-186,single,pokemon,Lost Origin,number,186/196,Giratina V Alt Art
swsh12-186,single,pokemon,Silver Tempest,number,186/195,Lugia V Alt Art
svp-085,single,pokemon,Scarlet & Violet Promo,number,085,Pikachu with Grey Felt Hat
sv8-57,single,pokemon,Surging Sparks,number,57/191,Pikachu (Surging Sparks)
sl-base-box,sealed,pokemon,Base Set,name,Booster Box,Base Set Booster Box
sl-neo-box,sealed,pokemon,Neo Genesis,name,Booster Box,Neo Genesis Booster Box
sl-evs-box,sealed,pokemon,Evolving Skies,name,Booster Box,Evolving Skies Booster Box
sl-evs-etb,sealed,pokemon,Evolving Skies,name,Elite Trainer Box,Evolving Skies ETB
sl-champ-etb,sealed,pokemon,Champion's Path,name,Elite Trainer Box,Champion's Path ETB
sl-shf-etb,sealed,pokemon,Shining Fates,name,Elite Trainer Box,Shining Fates ETB
sl-hf-etb,sealed,pokemon,Hidden Fates,name,Elite Trainer Box,Hidden Fates ETB
sl-cz-etb,sealed,pokemon,Crown Zenith,name,Elite Trainer Box,Crown Zenith ETB
sl-bs-box,sealed,pokemon,Brilliant Stars,name,Booster Box,Brilliant Stars Booster Box
sl-lo-box,sealed,pokemon,Lost Origin,name,Booster Box,Lost Origin Booster Box
sl-fs-box,sealed,pokemon,Fusion Strike,name,Booster Box,Fusion Strike Booster Box
sl-ar-box,sealed,pokemon,Astral Radiance,name,Booster Box,Astral Radiance Booster Box
sl-st-box,sealed,pokemon,Silver Tempest,name,Booster Box,Silver Tempest Booster Box
sl-cel-upc,sealed,pokemon,Celebrations,name,Ultra-Premium,Celebrations Ultra Premium Collection
sl-151-bundle,sealed,pokemon,151,name,Booster Bundle,151 Booster Bundle
sl-151-etb,sealed,pokemon,151,name,Elite Trainer Box,151 Elite Trainer Box
sl-151-upc,sealed,pokemon,151,name,Ultra-Premium,151 Ultra Premium Collection
sl-obf-box,sealed,pokemon,Obsidian Flames,name,Booster Box,Obsidian Flames Booster Box
sl-pf-etb,sealed,pokemon,Paldean Fates,name,Elite Trainer Box,Paldean Fates ETB
sl-tf-box,sealed,pokemon,Temporal Forces,name,Booster Box,Temporal Forces Booster Box
sl-ss-box,sealed,pokemon,Surging Sparks,name,Booster Box,Surging Sparks Booster Box
sl-pe-etb,sealed,pokemon,Prismatic Evolutions,name,Elite Trainer Box,Prismatic Evolutions ETB
sl-pe-spc,sealed,pokemon,Prismatic Evolutions,name,Super-Premium,Prismatic Evolutions Super Premium Collection
sl-dr-box,sealed,pokemon,Destined Rivals,name,Booster Box,Destined Rivals Booster Box
sl-jt-box,sealed,pokemon,Journey Together,name,Booster Box,Journey Together Booster Box
sl-me1-box,sealed,pokemon,Mega Evolution,name,Booster Box,Mega Evolution Booster Box
sl-phf-box,sealed,pokemon,Phantasmal Flames,name,Booster Box,Phantasmal Flames Booster Box
sl-jp-terastal,sealed,pokemon-japan,Terastal Festival,name,Booster Box,Terastal Festival ex Booster Box (JP)
sl-jp-151,sealed,pokemon-japan,151,name,Booster Box,Pokemon 151 Booster Box (JP)
